Token ID,Token,Total Length,Chinese Length,Longword ID,Subword ID,Occurrences,Percentage,Pollute Type
27840,法师,2,2,5307,,1,0.0035%,
27843,折扣,2,2,5308,,3,0.0105%,
27845,面料,2,2,5309,,1,0.0035%,
27865,场的,2,2,679,1,2,0.0070%,
27866,身为,2,2,5310,,1,0.0035%,
27870,短板,2,2,5311,,1,0.0035%,
27883,大胆,2,2,5312,,3,0.0105%,
27884,但他,2,2,5313,,1,0.0035%,
27889,担保,2,2,5314,,1,0.0035%,
27890,星星,2,2,5315,,1,0.0035%,
27892,五大,2,2,5316,,1,0.0035%,
27899,得起,2,2,5317,,1,0.0035%,
27900,四年,2,2,5318,,1,0.0035%,
27903,剩下,2,2,5319,,4,0.0141%,
27906,投递,2,2,5320,,1,0.0035%,
27911,渗透,2,2,5321,,3,0.0105%,
27916,变异,2,2,5322,,1,0.0035%,
27917,在新,2,2,5323,,1,0.0035%,
27918,眼泪,2,2,5324,,3,0.0105%,
27921,困境,2,2,5325,,1,0.0035%,
27922,摆脱,2,2,5326,,4,0.0141%,
27926,友们,2,2,521,1,2,0.0070%,
27929,交给,2,2,5327,,1,0.0035%,
27930,排水,2,2,5328,,1,0.0035%,
27931,街头,2,2,5329,,1,0.0035%,
27933,减免,2,2,5330,,1,0.0035%,
27940,难受,2,2,5331,,1,0.0035%,
27945,先行,2,2,5332,,1,0.0035%,
27946,暗示,2,2,5333,,1,0.0035%,
27951,热烈,2,2,5334,,1,0.0035%,
27953,无忧,2,2,5335,,4,0.0141%,
27957,的说,2,2,5336,,1,0.0035%,
27960,钥匙,2,2,5337,,5,0.0176%,
27965,取决,2,2,1218,1,2,0.0070%,
27977,跨境,2,2,5338,,4,0.0141%,
27998,两者,2,2,5339,,1,0.0035%,
28003,型号,2,2,5340,,1,0.0035%,
28004,如实,2,2,5341,,1,0.0035%,
28015,意愿,2,2,5342,,1,0.0035%,
28018,对了,2,2,5343,,1,0.0035%,
28021,剩余,2,2,5344,,1,0.0035%,
28026,代价,2,2,5345,,1,0.0035%,
28037,点半,2,2,5346,,1,0.0035%,
28043,亏损,2,2,5347,,3,0.0105%,
28049,官员,2,2,5348,,1,0.0035%,
28052,君子,2,2,5349,,3,0.0105%,
28055,我妈,2,2,5350,,1,0.0035%,
28069,队长,2,2,5351,,1,0.0035%,
28077,团委,2,2,5352,,1,0.0035%,
28080,▁第四,3,2,5353,,1,0.0035%,
28082,生死,2,2,5354,,1,0.0035%,
28083,选调,2,2,5355,,1,0.0035%,
28084,这座,2,2,5356,,1,0.0035%,
28088,进出,2,2,5357,,1,0.0035%,
28091,须知,2,2,5358,,1,0.0035%,
28096,属实,2,2,5359,,1,0.0035%,
28097,游览,2,2,5360,,1,0.0035%,
28101,联控,2,2,283,2,2,0.0070%,
28102,正义,2,2,5361,,1,0.0035%,
28110,太太,2,2,5362,,1,0.0035%,
28111,整洁,2,2,5363,,1,0.0035%,
28112,分辨,2,2,5364,,3,0.0105%,
28116,宾馆,2,2,5365,,1,0.0035%,
28118,而成,2,2,5366,,1,0.0035%,
28133,察布,2,2,284,2,2,0.0070%,
28135,全员,2,2,5367,,1,0.0035%,
28139,用力,2,2,5368,,1,0.0035%,
28141,恶劣,2,2,5369,,3,0.0105%,
28147,题材,2,2,5370,,1,0.0035%,
28154,大方,2,2,5371,,1,0.0035%,
28161,的地,2,2,352,2,3,0.0105%,
28169,看你,2,2,5372,,1,0.0035%,
28170,广电,2,2,5373,,1,0.0035%,
28171,膳食,2,2,5374,,3,0.0105%,
28175,这边,2,2,5375,,1,0.0035%,
28178,深深,2,2,5376,,1,0.0035%,
28179,正当,2,2,5377,,1,0.0035%,
28181,去找,2,2,5378,,1,0.0035%,
28183,站点,2,2,5379,,1,0.0035%,
28185,下角,2,2,5380,,1,0.0035%,
28194,不等,2,2,5381,,1,0.0035%,
28195,学霸,2,2,5382,,3,0.0105%,
28198,大门,2,2,5383,,1,0.0035%,
28199,法学,2,2,5384,,1,0.0035%,
28206,定价,2,2,5385,,1,0.0035%,
28214,游玩,2,2,5386,,1,0.0035%,
28215,甲状,2,2,1224,1,2,0.0070%,
28216,友好,2,2,5387,,1,0.0035%,
28221,座椅,2,2,5388,,3,0.0105%,
28227,谣言,2,2,5389,,3,0.0105%,
28229,打了,2,2,5390,,1,0.0035%,
28230,旋转,2,2,5391,,3,0.0105%,
28233,节省,2,2,5392,,1,0.0035%,
28235,边境,2,2,5393,,1,0.0035%,
28236,华南,2,2,5394,,1,0.0035%,
28238,疗法,2,2,5395,,1,0.0035%,
28239,师资,2,2,61,4,3,0.0105%,
28241,起步,2,2,5396,,1,0.0035%,
28242,雅思,2,2,5397,,1,0.0035%,
28245,昨日,2,2,5398,,1,0.0035%,
28251,笑容,2,2,5399,,1,0.0035%,
28256,患有,2,2,5400,,1,0.0035%,
28258,短暂,2,2,5401,,1,0.0035%,
28260,采摘,2,2,5402,,3,0.0105%,
28266,清爽,2,2,5403,,3,0.0105%,
28267,扩展,2,2,5404,,1,0.0035%,
28276,做得,2,2,5405,,1,0.0035%,
28278,崩溃,2,2,5406,,6,0.0211%,
28279,属地,2,2,5407,,1,0.0035%,
28281,每晚,2,2,5408,,1,0.0035%,
28284,一夜,2,2,5409,,1,0.0035%,
28289,播出,2,2,5410,,1,0.0035%,
28291,自杀,2,2,5411,,6,0.0211%,
28297,载体,2,2,5412,,1,0.0035%,
28305,光荣,2,2,5413,,1,0.0035%,
28309,发力,2,2,5414,,1,0.0035%,
28315,优越,2,2,5415,,1,0.0035%,
28321,▁目前,3,2,5416,,1,0.0035%,
28328,讲师,2,2,5417,,1,0.0035%,
28330,小麦,2,2,5418,,3,0.0105%,
28352,沙发,2,2,5419,,1,0.0035%,
28356,林业,2,2,5420,,1,0.0035%,
28357,阻止,2,2,5421,,1,0.0035%,
28359,酒驾,2,2,5422,,1,0.0035%,
28362,护航,2,2,5423,,1,0.0035%,
28366,不通,2,2,5424,,1,0.0035%,
28369,食欲,2,2,5425,,1,0.0035%,
28373,极为,2,2,5426,,1,0.0035%,
28374,灾难,2,2,5427,,1,0.0035%,
28381,承办,2,2,5428,,1,0.0035%,
28388,风采,2,2,5429,,1,0.0035%,
28397,初期,2,2,5430,,1,0.0035%,
28399,天赋,2,2,5431,,1,0.0035%,
28409,的家,2,2,1023,2,2,0.0070%,
28410,发作,2,2,5432,,1,0.0035%,
28418,见的,2,2,568,2,2,0.0070%,
28421,敢于,2,2,5433,,1,0.0035%,
28422,卓越,2,2,5434,,3,0.0105%,
28433,震撼,2,2,5435,,3,0.0105%,
28438,理科,2,2,5436,,1,0.0035%,
28442,客车,2,2,5437,,1,0.0035%,
28453,初审,2,2,5438,,1,0.0035%,
28458,你也,2,2,5439,,1,0.0035%,
28462,此类,2,2,5440,,1,0.0035%,
28463,浸泡,2,2,5441,,5,0.0176%,
28465,浓郁,2,2,5442,,1,0.0035%,
28470,旺盛,2,2,5443,,5,0.0176%,
28478,详见,2,2,5444,,1,0.0035%,
28488,这点,2,2,5445,,1,0.0035%,
28490,学姐,2,2,5446,,1,0.0035%,
28494,如意,2,2,5447,,1,0.0035%,
28505,周六,2,2,5448,,1,0.0035%,
28522,过渡,2,2,5449,,3,0.0105%,
