Token ID,Token,Total Length,Chinese Length,Longword ID,Subword ID,Occurrences,Percentage,Pollute Type
51495,无忌,2,2,16173,,1,0.0032%,
51496,起着,2,2,16174,,1,0.0032%,
51499,一键,2,2,16175,,1,0.0032%,
51500,机理,2,2,16176,,1,0.0032%,
51503,上司,2,2,16177,,1,0.0032%,
51504,杜鹃,2,2,16178,,3,0.0096%,
51505,淡定,2,2,16179,,1,0.0032%,
51506,首富,2,2,16180,,1,0.0032%,
51507,！《,2,2,16181,,1,0.0032%,
51512,克罗,2,2,16182,,1,0.0032%,
51513,释义,2,2,16183,,1,0.0032%,
51514,露营,2,2,16184,,1,0.0032%,
51517,小三,2,2,16185,,1,0.0032%,
51518,绿城,2,2,16186,,1,0.0032%,
51519,電台,2,2,16187,,1,0.0032%,
51522,認真,2,2,16188,,1,0.0032%,
51525,湛江,2,2,16189,,1,0.0032%,
51526,罢工,2,2,16190,,1,0.0032%,
51527,中场,2,2,16191,,1,0.0032%,
51528,到達,2,2,16192,,1,0.0032%,
51529,针织,2,2,16193,,1,0.0032%,
51531,唯物,2,2,16194,,1,0.0032%,
51532,多点,2,2,16195,,1,0.0032%,
51533,并能,2,2,16196,,1,0.0032%,
51534,当了,2,2,16197,,1,0.0032%,
51535,月末,2,2,16198,,1,0.0032%,
51536,灭绝,2,2,16199,,1,0.0032%,
51542,被他,2,2,16200,,1,0.0032%,
51545,之用,2,2,16201,,1,0.0032%,
51546,侵蚀,2,2,16202,,1,0.0032%,
51548,天人,2,2,16203,,1,0.0032%,
51552,不孕,2,2,16204,,1,0.0032%,
51553,也与,2,2,16205,,1,0.0032%,
51554,适龄,2,2,16206,,1,0.0032%,
51561,图源,2,2,16207,,1,0.0032%,
51562,恶魔,2,2,16208,,1,0.0032%,
51563,暖暖,2,2,16209,,1,0.0032%,
51568,大約,2,2,16210,,1,0.0032%,
51569,文凭,2,2,16211,,1,0.0032%,
51570,绝缘,2,2,16212,,1,0.0032%,
51574,起始,2,2,16213,,1,0.0032%,
51575,七星,2,2,16214,,1,0.0032%,
51576,脱口,2,2,16215,,1,0.0032%,
51577,起重,2,2,16216,,1,0.0032%,
51583,木兰,2,2,16217,,1,0.0032%,
51584,单调,2,2,16218,,1,0.0032%,
51585,穷人,2,2,16219,,1,0.0032%,
51586,話題,2,2,16220,,1,0.0032%,
51589,处级,2,2,16221,,1,0.0032%,
51590,带入,2,2,16222,,1,0.0032%,
51592,的和,2,2,16223,,1,0.0032%,
51593,苏区,2,2,16224,,1,0.0032%,
51594,造血,2,2,16225,,1,0.0032%,
51602,别看,2,2,16226,,1,0.0032%,
51603,湖水,2,2,16227,,1,0.0032%,
51605,上身,2,2,16228,,1,0.0032%,
51606,悼念,2,2,16229,,3,0.0096%,
51608,外事,2,2,16230,,1,0.0032%,
51609,想了,2,2,16231,,1,0.0032%,
51610,裁员,2,2,16232,,1,0.0032%,
51611,顺势,2,2,16233,,1,0.0032%,
51613,母子,2,2,16234,,1,0.0032%,
51614,無數,2,2,16235,,1,0.0032%,
51619,乾坤,2,2,16236,,3,0.0096%,
51620,军舰,2,2,16237,,1,0.0032%,
51621,走好,2,2,16238,,1,0.0032%,
51626,启航,2,2,16239,,1,0.0032%,
51627,坦诚,2,2,16240,,1,0.0032%,
51628,拖拉,2,2,16241,,1,0.0032%,
51629,若能,2,2,16242,,1,0.0032%,
51634,可疑,2,2,16243,,1,0.0032%,
51639,佛罗,2,2,16244,,1,0.0032%,
51642,亲吻,2,2,16245,,3,0.0096%,
51643,作则,2,2,16246,,1,0.0032%,
51644,协和,2,2,16247,,1,0.0032%,
51645,援引,2,2,16248,,1,0.0032%,
51646,稀土,2,2,16249,,1,0.0032%,
51649,唯美,2,2,16250,,1,0.0032%,
51650,饱含,2,2,16251,,1,0.0032%,
51654,果树,2,2,16252,,1,0.0032%,
51655,這段,2,2,16253,,1,0.0032%,
51656,進而,2,2,16254,,1,0.0032%,
51660,戒指,2,2,16255,,1,0.0032%,
51661,門票,2,2,16256,,1,0.0032%,
51662,高频,2,2,16257,,1,0.0032%,
51665,大院,2,2,16258,,1,0.0032%,
51666,滋补,2,2,16259,,1,0.0032%,
51667,身在,2,2,16260,,1,0.0032%,
51668,造林,2,2,16261,,1,0.0032%,
51671,出卖,2,2,16262,,1,0.0032%,
51672,感想,2,2,16263,,1,0.0032%,
51673,▁重庆,3,2,16264,,1,0.0032%,
51678,見到,2,2,16265,,1,0.0032%,
51679,電郵,2,2,16266,,3,0.0096%,
51683,地毯,2,2,16267,,3,0.0096%,
51687,交集,2,2,16268,,1,0.0032%,
51688,你和,2,2,16269,,1,0.0032%,
51689,征兵,2,2,16270,,1,0.0032%,
51692,卫国,2,2,16271,,1,0.0032%,
51693,吃着,2,2,16272,,1,0.0032%,
51698,举手,2,2,16273,,1,0.0032%,
51699,日文,2,2,16274,,1,0.0032%,
51700,梯队,2,2,16275,,1,0.0032%,
51701,舌头,2,2,16276,,1,0.0032%,
51703,一帆,2,2,16277,,1,0.0032%,
51704,着她,2,2,16278,,1,0.0032%,
51705,风华,2,2,16279,,1,0.0032%,
51707,荷蘭,2,2,16280,,1,0.0032%,
51708,间盘,2,2,16281,,1,0.0032%,
51711,秦皇,2,2,16282,,1,0.0032%,
51717,产区,2,2,16283,,1,0.0032%,
51718,我叫,2,2,16284,,1,0.0032%,
51719,涨停,2,2,16285,,1,0.0032%,
51723,人要,2,2,16286,,1,0.0032%,
51724,甲基,2,2,16287,,1,0.0032%,
51726,大跌,2,2,16288,,1,0.0032%,
51727,注目,2,2,16289,,1,0.0032%,
51728,烟气,2,2,16290,,1,0.0032%,
51729,醒了,2,2,16291,,1,0.0032%,
51731,专卖,2,2,16292,,1,0.0032%,
51732,朝夕,2,2,16293,,1,0.0032%,
51733,年金,2,2,16294,,1,0.0032%,
51734,演戏,2,2,16295,,1,0.0032%,
51735,薪水,2,2,16296,,1,0.0032%,
51736,跟她,2,2,16297,,1,0.0032%,
51738,举起,2,2,16298,,1,0.0032%,
51739,多做,2,2,16299,,1,0.0032%,
51740,通航,2,2,16300,,1,0.0032%,
51744,不减,2,2,16301,,1,0.0032%,
51745,内幕,2,2,16302,,1,0.0032%,
51746,毛衣,2,2,16303,,1,0.0032%,
51747,滋生,2,2,16304,,1,0.0032%,
51749,卫士,2,2,16305,,1,0.0032%,
51750,追问,2,2,16306,,1,0.0032%,
51757,菲特,2,2,16307,,1,0.0032%,
51760,管线,2,2,16308,,1,0.0032%,
51767,下锅,2,2,16309,,1,0.0032%,
51768,勤俭,2,2,16310,,3,0.0096%,
51769,的在,2,2,16311,,1,0.0032%,
51772,人就,2,2,16312,,1,0.0032%,
51773,远景,2,2,16313,,1,0.0032%,
51775,交換,2,2,16314,,4,0.0128%,
51776,學科,2,2,16315,,1,0.0032%,
51777,最优,2,2,16316,,1,0.0032%,
51778,秀丽,2,2,16317,,1,0.0032%,
51779,肆意,2,2,16318,,4,0.0128%,
51780,負擔,2,2,16319,,1,0.0032%,
51782,养分,2,2,16320,,1,0.0032%,
51783,出乎,2,2,16321,,1,0.0032%,
51787,先進,2,2,16322,,1,0.0032%,
51788,审定,2,2,16323,,1,0.0032%,
51789,足夠,2,2,16324,,1,0.0032%,
51791,不休,2,2,16325,,1,0.0032%,
51792,补血,2,2,16326,,1,0.0032%,
51793,要让,2,2,16327,,1,0.0032%,
51795,字形,2,2,16328,,1,0.0032%,
51798,前去,2,2,16329,,1,0.0032%,
51799,复出,2,2,16330,,1,0.0032%,
51800,採訪,2,2,16331,,1,0.0032%,
51801,河镇,2,2,16332,,1,0.0032%,
51803,任用,2,2,16333,,1,0.0032%,
51804,彼岸,2,2,16334,,1,0.0032%,
51805,看著,2,2,16335,,1,0.0032%,
51806,特勒,2,2,16336,,1,0.0032%,
51814,大吉,2,2,16337,,1,0.0032%,
51815,救命,2,2,16338,,1,0.0032%,
51816,真菌,2,2,16339,,1,0.0032%,
51817,金斯,2,2,16340,,1,0.0032%,
51821,介质,2,2,16341,,1,0.0032%,
51822,传入,2,2,16342,,1,0.0032%,
51823,低谷,2,2,16343,,1,0.0032%,
51824,她又,2,2,16344,,1,0.0032%,
51825,寂静,2,2,16345,,1,0.0032%,
51826,志成,2,2,16346,,1,0.0032%,
51827,更显,2,2,16347,,1,0.0032%,
51828,美妙,2,2,16348,,1,0.0032%,
51831,好后,2,2,16349,,1,0.0032%,
51832,文具,2,2,16350,,1,0.0032%,
51833,日到,2,2,16351,,1,0.0032%,
51834,物業,2,2,16352,,1,0.0032%,
51835,雷霆,2,2,16353,,1,0.0032%,
51838,参军,2,2,16354,,1,0.0032%,
51839,联军,2,2,16355,,1,0.0032%,
51840,香水,2,2,16356,,1,0.0032%,
51841,▁下午,3,2,16357,,1,0.0032%,
51846,退款,2,2,16358,,1,0.0032%,
51851,双双,2,2,16359,,1,0.0032%,
51857,圆圆,2,2,16360,,1,0.0032%,
51858,暗恋,2,2,16361,,1,0.0032%,
51859,此项,2,2,16362,,1,0.0032%,
51860,毫克,2,2,16363,,1,0.0032%,
51861,电阻,2,2,16364,,1,0.0032%,
51865,人或,2,2,16365,,1,0.0032%,
51870,义勇,2,2,16366,,1,0.0032%,
51871,学法,2,2,16367,,1,0.0032%,
51872,实则,2,2,16368,,1,0.0032%,
51873,心声,2,2,16369,,1,0.0032%,
51874,敷衍,2,2,16370,,3,0.0096%,
51875,昌盛,2,2,16371,,1,0.0032%,
51876,极力,2,2,16372,,1,0.0032%,
51877,胡子,2,2,16373,,1,0.0032%,
51881,儲存,2,2,16374,,3,0.0096%,
51882,极易,2,2,16375,,1,0.0032%,
51883,薄的,2,2,16376,,1,0.0032%,
51884,飘扬,2,2,16377,,3,0.0096%,
51888,中立,2,2,16378,,1,0.0032%,
51889,轉換,2,2,16379,,1,0.0032%,
51890,▁年的,3,2,16380,,3,0.0096%,
51894,大埔,2,2,16381,,1,0.0032%,
51897,信的,2,2,16382,,1,0.0032%,
51898,心安,2,2,16383,,1,0.0032%,
51899,要先,2,2,16384,,1,0.0032%,
51900,重逢,2,2,16385,,1,0.0032%,
51901,严守,2,2,16386,,1,0.0032%,
51902,家住,2,2,16387,,1,0.0032%,
51903,衝擊,2,2,16388,,1,0.0032%,
51904,被抓,2,2,16389,,1,0.0032%,
51907,二段,2,2,16390,,1,0.0032%,
51908,价位,2,2,16391,,1,0.0032%,
51909,会和,2,2,16392,,1,0.0032%,
51913,丞相,2,2,16393,,3,0.0096%,
51914,無人,2,2,16394,,1,0.0032%,
51916,中求,2,2,16395,,1,0.0032%,
51917,老闆,2,2,16396,,3,0.0096%,
51919,協調,2,2,16397,,1,0.0032%,
51920,新民,2,2,16398,,1,0.0032%,
51921,看來,2,2,16399,,1,0.0032%,
51924,左边,2,2,16400,,1,0.0032%,
51925,平市,2,2,16401,,1,0.0032%,
51931,一亮,2,2,16402,,1,0.0032%,
51932,国之,2,2,16403,,1,0.0032%,
51933,故里,2,2,16404,,1,0.0032%,
51934,看向,2,2,16405,,1,0.0032%,
51935,绑定,2,2,16406,,1,0.0032%,
51936,陕北,2,2,16407,,1,0.0032%,
51939,流血,2,2,16408,,1,0.0032%,
51940,预制,2,2,16409,,1,0.0032%,
51945,一瓶,2,2,16410,,1,0.0032%,
51946,蒜末,2,2,16411,,1,0.0032%,
51947,高音,2,2,16412,,1,0.0032%,
51949,同在,2,2,16413,,1,0.0032%,
51950,多变,2,2,16414,,1,0.0032%,
51951,王文,2,2,16415,,1,0.0032%,
51952,苗族,2,2,16416,,1,0.0032%,
51953,蚌埠,2,2,16417,,5,0.0160%,
51955,也將,2,2,16418,,1,0.0032%,
51956,冥想,2,2,16419,,3,0.0096%,
51957,展区,2,2,16420,,1,0.0032%,
51958,起居,2,2,16421,,1,0.0032%,
51961,指着,2,2,16422,,1,0.0032%,
51962,撞击,2,2,16423,,1,0.0032%,
51963,鸦片,2,2,16424,,3,0.0096%,
51966,丽水,2,2,16425,,1,0.0032%,
51967,节水,2,2,16426,,1,0.0032%,
51970,才會,2,2,16427,,1,0.0032%,
51972,一斤,2,2,16428,,1,0.0032%,
51973,竹林,2,2,16429,,1,0.0032%,
51974,及早,2,2,16430,,1,0.0032%,
51975,地和,2,2,16431,,1,0.0032%,
51976,子曰,2,2,16432,,3,0.0096%,
51977,属猴,2,2,16433,,1,0.0032%,
51978,更為,2,2,16434,,1,0.0032%,
51979,被封,2,2,16435,,1,0.0032%,
51980,亦凡,2,2,16436,,1,0.0032%,
51981,心境,2,2,16437,,1,0.0032%,
51983,眼底,2,2,16438,,1,0.0032%,
51984,通畅,2,2,16439,,1,0.0032%,
51985,面色,2,2,16440,,1,0.0032%,
51986,頒發,2,2,16441,,1,0.0032%,
51988,场均,2,2,16442,,1,0.0032%,
51989,钟情,2,2,16443,,1,0.0032%,
51997,介意,2,2,16444,,1,0.0032%,
51999,昌平,2,2,16445,,1,0.0032%,
52000,遗嘱,2,2,16446,,1,0.0032%,
52001,青蛙,2,2,16447,,3,0.0096%,
52006,學金,2,2,16448,,1,0.0032%,
52007,消炎,2,2,16449,,1,0.0032%,
52008,灵芝,2,2,16450,,1,0.0032%,
52009,耶夫,2,2,16451,,1,0.0032%,
52012,分层,2,2,16452,,1,0.0032%,
52013,功臣,2,2,16453,,1,0.0032%,
52014,西区,2,2,16454,,1,0.0032%,
52017,单日,2,2,16455,,1,0.0032%,
52018,吃药,2,2,16456,,1,0.0032%,
52019,图画,2,2,16457,,1,0.0032%,
52020,强奸,2,2,16458,,3,0.0096%,
52021,杂物,2,2,16459,,1,0.0032%,
52022,爱党,2,2,16460,,1,0.0032%,
52023,看你,2,2,16461,,1,0.0032%,
52024,再创,2,2,16462,,1,0.0032%,
52025,循序,2,2,16463,,1,0.0032%,
52026,熏陶,2,2,16464,,3,0.0096%,
52027,破门,2,2,16465,,1,0.0032%,
52031,轮流,2,2,16466,,1,0.0032%,
52032,透了,2,2,16467,,1,0.0032%,
52036,还对,2,2,16468,,1,0.0032%,
52037,他去,2,2,16469,,1,0.0032%,
52039,统领,2,2,16470,,1,0.0032%,
52040,车程,2,2,16471,,1,0.0032%,
52041,选秀,2,2,16472,,1,0.0032%,
52042,靈魂,2,2,16473,,3,0.0096%,
52045,一邊,2,2,16474,,1,0.0032%,
52046,万能,2,2,16475,,1,0.0032%,
52047,全港,2,2,16476,,1,0.0032%,
52048,减持,2,2,16477,,1,0.0032%,
52049,改成,2,2,16478,,1,0.0032%,
52050,替补,2,2,16479,,1,0.0032%,
52051,東北,2,2,16480,,1,0.0032%,
52052,编纂,2,2,16481,,3,0.0096%,
52056,常德,2,2,16482,,1,0.0032%,
52057,异味,2,2,16483,,1,0.0032%,
52058,筆者,2,2,16484,,3,0.0096%,
52059,三类,2,2,16485,,1,0.0032%,
52060,奖牌,2,2,16486,,1,0.0032%,
52061,求真,2,2,16487,,1,0.0032%,
52064,中都,2,2,16488,,1,0.0032%,
52065,好课,2,2,16489,,1,0.0032%,
52066,补齐,2,2,16490,,1,0.0032%,
52067,飞天,2,2,16491,,1,0.0032%,
52069,代代,2,2,16492,,1,0.0032%,
52070,家境,2,2,16493,,1,0.0032%,
52071,魅族,2,2,16494,,1,0.0032%,
52072,党纪,2,2,16495,,1,0.0032%,
52073,就曾,2,2,16496,,1,0.0032%,
52074,有我,2,2,16497,,1,0.0032%,
52075,私营,2,2,16498,,1,0.0032%,
52078,景气,2,2,16499,,1,0.0032%,
52079,浸润,2,2,16500,,1,0.0032%,
52080,淮南,2,2,16501,,5,0.0160%,
52081,首饰,2,2,16502,,1,0.0032%,
52091,乖乖,2,2,16503,,3,0.0096%,
52098,前排,2,2,16504,,1,0.0032%,
52099,扣押,2,2,16505,,1,0.0032%,
52102,见习,2,2,16506,,1,0.0032%,
52106,主食,2,2,16507,,1,0.0032%,
52107,大开,2,2,16508,,1,0.0032%,
52109,后裔,2,2,16509,,1,0.0032%,
52110,领航,2,2,16510,,1,0.0032%,
52113,停产,2,2,16511,,1,0.0032%,
52114,字节,2,2,16512,,1,0.0032%,
52115,数目,2,2,16513,,1,0.0032%,
52116,路程,2,2,16514,,1,0.0032%,
52124,轻盈,2,2,16515,,1,0.0032%,
52126,取证,2,2,16516,,1,0.0032%,
52127,沥干,2,2,16517,,3,0.0096%,
52129,淮安,2,2,16518,,1,0.0032%,
52130,百亿,2,2,16519,,1,0.0032%,
52131,讀書,2,2,16520,,1,0.0032%,
